formula	count
openssl@3	580066
ca-certificates	463642
sqlite	292097
libcap	270575
gh	267217
node	251846
bubblewrap	243868
python@3.14	239427
awscli	208995
pkgconf	207213
xz	199231
uv	194142
glib	192615
zstd	183113
ffmpeg	181380
fontconfig	181357
libtiff	166367
json-c	164206
cmake	162587
libffi	159961
jpeg-turbo	155459
pcre2	149408
readline	144357
icu4c@78	137765
lz4	137374
gmp	133769
git	125058
go	122757
mpdecimal	121073
c-ares	119813
ncurses	119496
libngtcp2	117187
libnghttp3	115244
libx11	109788
poppler	105017
libpng	103140
libssh2	101644
zlib-ng-compat	101587
ripgrep	100582
harfbuzz	99768
gettext	98735
little-cms2	95503
libunistring	94711
expat	93848
webp	90462
gnupg	89389
fmt	87637
gcc	87319
jq	86276
giflib	84907
dav1d	83989
libvmaf	80853
freetype	80141
sdl3	79663
python@3.13	78447
coreutils	77951
luajit	77534
xorgproto	76525
graphite2	76365
p11-kit	75684
lame	75204
llhttp	73931
libxext	73418
hdrhistogram_c	73158
deno	73047
pnpm	73013
brotli	73009
imagemagick	72552
libevent	72499
pango	71362
libtool	69901
tmux	69814
mise	69809
pipx	69073
libnghttp2	68025
z3	66747
libxcb	66263
llvm	66128
protobuf	65602
fzf	65435
gnutls	62307
svt-av1	61755
certifi	61621
oniguruma	59907
cairo	59857
xcbeautify	59765
ada-url	59549
just	59083
isl	58772
yt-dlp	57344
krb5	56167
simdjson	56103
pixman	56047
openjdk	55988
libxau	55844
x265	55054
sdl2-compat	54908
libxdmcp	54666
mpg123	54363
docker	54005
