formula	count
ca-certificates	437304
openssl@3	423227
python@3.14	238490
gh	236906
ffmpeg	175411
uv	172260
node	164181
sqlite	157368
awscli	151710
go	151212
glib	149822
pkgconf	148227
pcre2	143032
xz	141779
cmake	140043
harfbuzz	137142
zstd	132712
simdjson	126301
fontconfig	125762
ncurses	107762
gmp	107433
little-cms2	105407
lz4	102532
readline	100957
icu4c@78	97599
libtiff	94943
gcc	93581
json-c	93044
libffi	88119
mpdecimal	87499
protobuf	85214
jpeg-turbo	79559
expat	79496
zlib-ng-compat	79074
libx11	78534
libpng	76111
abseil	67849
x265	67094
webp	65943
gettext	65283
coreutils	64206
libnghttp2	63797
llvm	63058
libunistring	63055
git	61676
simdutf	61312
gnupg	61240
giflib	59534
jq	59477
openjdk	58298
freetype	57214
xcbeautify	56972
libngtcp2	56889
libnghttp3	56472
oniguruma	56187
python@3.12	55849
nss	55845
brotli	55075
ripgrep	54863
imagemagick	54576
dav1d	54265
yt-dlp	52954
fmt	52926
c-ares	52858
merve	52778
xorgproto	52614
sdl3	52575
yq	51491
mise	51306
libvpx	51251
graphite2	51165
tmux	51142
libvmaf	50680
poppler	50517
pango	49750
pipx	49512
mpg123	49108
p11-kit	48998
libssh2	48091
libxext	47718
python@3.13	47244
ruby	47018
libxcb	47018
hello	46580
gnutls	46111
llhttp	45786
libgcrypt	45097
z3	45070
libtool	44902
libgit2	44410
pnpm	44179
rust	44126
krb5	43945
gdk-pixbuf	43201
libpq	42601
ollama	42351
fzf	41664
ninja	40761
bzip2	40427
libpsl	40238
