formula	count
openssl@3	533877
zstd	434050
xz	414064
sqlite	397002
ca-certificates	379686
node	334634
readline	326990
gh	315613
python@3.14	309017
pcre2	284473
lz4	246960
awscli	235179
icu4c@78	233167
gettext	212243
glib	210698
libpng	206213
uv	204441
mpdecimal	200203
go	198847
libunistring	198625
ffmpeg	194274
libngtcp2	185716
libtiff	182813
freetype	179897
libx11	175776
libnghttp2	170502
python@3.13	167108
libuv	166725
brotli	165499
libnghttp3	158451
zlib-ng-compat	158386
gmp	157453
ncurses	154879
pkgconf	148622
simdjson	145535
expat	144591
libxext	142025
little-cms2	141538
gemini-cli	140714
ada-url	140121
m4	138711
llhttp	136228
gcc	135403
xorgproto	134768
cmake	133236
c-ares	132763
git	130681
jpeg-turbo	130263
fmt	130008
harfbuzz	129388
gnutls	121314
openexr	116465
hdrhistogram_c	110656
coreutils	109384
fontconfig	104563
bzip2	103443
libssh2	103370
p11-kit	102762
uvwasi	102046
dav1d	100535
zlib	100439
libffi	98946
libxcb	97523
libxau	97144
libxdmcp	93779
krb5	92586
openjph	91983
libvpx	91825
protobuf	91313
jpeg-xl	91092
libgcrypt	90649
libedit	89104
libxrender	88021
libgpg-error	87002
unzip	85749
pixman	85006
berkeley-db@5	83506
curl	82500
certifi	80862
svt-av1	80710
cairo	80254
mise	79247
opus	79150
xcbeautify	77886
binutils	77024
pango	75913
abseil	75670
gnupg	74343
pyenv	74218
giflib	71110
libtasn1	71055
llvm	70494
python@3.12	70254
poppler	70238
libxml2	69123
yt-dlp	68839
libtool	68438
mpfr	67944
x265	67782
imagemagick	67596
