formula	count
ca-certificates	510268
openssl@3	501000
python@3.14	279759
gh	275297
ffmpeg	221505
node	210956
uv	198472
sqlite	195083
awscli	189662
glib	187357
pkgconf	178924
xz	170467
harfbuzz	166183
go	165714
fontconfig	164824
cmake	160334
pcre2	157667
zstd	155543
simdjson	136890
libffi	131070
ncurses	127550
readline	123661
lz4	119497
icu4c@78	117296
gmp	116548
little-cms2	115581
libtiff	113897
json-c	113298
gcc	106651
mpdecimal	106275
protobuf	104814
expat	101930
zlib-ng-compat	96070
jpeg-turbo	95130
libx11	93531
libpng	88687
abseil	85200
libnghttp2	81027
gettext	78929
webp	78223
libunistring	76124
git	75873
x265	73954
llvm	73356
jq	71135
libngtcp2	70850
giflib	70840
libnghttp3	70310
python@3.12	68286
oniguruma	68266
gnupg	68174
ripgrep	68058
sdl3	67650
p11-kit	67616
freetype	67070
openjdk	67034
brotli	66221
pango	66024
z3	65688
poppler	65451
simdutf	65400
dav1d	65166
coreutils	64338
c-ares	64114
fmt	63638
mpg123	63592
mise	63258
xorgproto	62447
imagemagick	62268
nss	62188
python@3.13	62079
libvmaf	60756
graphite2	60707
yq	60664
libssh2	60595
pipx	60145
llhttp	60071
yt-dlp	59278
xcbeautify	57496
hello	57380
tmux	57281
merve	57173
libvpx	56404
libxext	56352
ollama	56287
pnpm	56060
libxcb	55614
libtool	54547
libpsl	53930
gdk-pixbuf	53770
gnutls	53349
ruby	52243
deno	51987
krb5	51768
fzf	49973
openldap	49836
libgit2	49651
ninja	49391
rust	49161
libgcrypt	49017
