formula	count
openssl@3	474651
ca-certificates	449073
sqlite	412494
xz	389832
zstd	378295
node	364671
gh	336474
readline	313243
icu4c@78	280051
libunistring	257959
lz4	251548
python@3.14	243783
pcre2	239699
glib	229133
harfbuzz	227328
libnghttp2	221607
freetype	209843
awscli	207617
uv	207348
mpdecimal	204850
simdjson	204788
libngtcp2	203880
gettext	191554
libuv	187134
ffmpeg	179382
brotli	174860
go	161357
gmp	160480
libpng	159633
expat	156605
libnghttp3	155603
libtiff	153732
libx11	153713
zlib-ng-compat	152388
pkgconf	152314
ncurses	150332
cmake	147236
ada-url	143692
jpeg-turbo	138911
little-cms2	136199
c-ares	135876
git	134964
libxext	134075
xorgproto	130696
gemini-cli	126197
fmt	122694
giflib	121771
openexr	116787
m4	113922
fontconfig	109380
python@3.13	108955
llhttp	108495
uvwasi	106482
gnupg	104863
hdrhistogram_c	104040
libffi	103593
bzip2	101952
libxcb	99339
gcc	99088
libxau	98412
imagemagick	98238
dav1d	96653
libxdmcp	95392
gnutls	92512
libxrender	91033
libedit	90879
pixman	90040
coreutils	88472
protobuf	88400
svt-av1	87832
krb5	87486
unzip	85834
cairo	85401
pango	85326
berkeley-db@5	85023
mise	84944
certifi	82705
p11-kit	82150
libgpg-error	81887
libvpx	81532
libssh2	80999
libgcrypt	79743
opus	78522
deno	78446
xcbeautify	76937
yt-dlp	76591
node@22	75587
libmpc	74936
libtasn1	74851
poppler	74672
curl	73096
libomp	72651
aom	72604
unbound	72365
sdl2	72133
libevent	71813
lzo	71737
jpeg-xl	71682
jq	71289
libidn2	71229
