formula	count
ca-certificates	507014
openssl@3	453913
xz	373131
sqlite	365127
python@3.14	348166
zstd	282644
node	277530
gh	255278
readline	235630
lz4	221325
glib	215276
icu4c@78	202616
pcre2	195022
awscli	187102
uv	180663
ffmpeg	179464
libnghttp2	177757
mpdecimal	172678
libunistring	172012
libpng	166933
llhttp	155335
gnutls	154443
gmp	152753
jpeg-turbo	146778
expat	146315
gettext	145203
little-cms2	143890
fontconfig	140180
freetype	140150
cmake	138858
simdjson	137597
libngtcp2	136163
harfbuzz	132808
ncurses	131357
libtiff	130711
go	126988
libx11	125821
zlib-ng-compat	123335
pkgconf	120181
brotli	118085
giflib	114385
git	113209
libxext	111819
xorgproto	109647
gnupg	109460
libnghttp3	108951
unbound	108921
simdutf	108775
coreutils	105178
fmt	101937
libgpg-error	101614
merve	101102
libvmaf	100461
c-ares	98274
aom	97353
llvm	96661
nettle	96183
libuv	95057
nbytes	91489
pixman	89882
libxcb	89116
cairo	88836
ada-url	88427
x265	88207
libedit	87750
docker	87445
python@3.13	87018
libxau	86693
m4	85424
mise	85372
libksba	85110
libxdmcp	84590
libxrender	82992
xcbeautify	82208
dav1d	81920
pnpm	80928
libffi	80685
libgit2	80548
imagemagick	79900
bzip2	79127
certifi	78553
gemini-cli	78529
ruby	76157
lzo	75978
libusb	75888
hdrhistogram_c	74157
curl	73987
jq	73720
openjph	72976
ripgrep	72449
uvwasi	71610
protobuf	71258
krb5	71166
graphite2	70959
libgcrypt	70955
gcc	70877
libssh2	70710
libomp	70000
pango	68494
opus	66554
