formula	count
ca-certificates	534709
openssl@3	507444
node	286990
gh	285239
python@3.14	282300
sqlite	275173
glib	235761
uv	203045
awscli	202790
ffmpeg	197721
fontconfig	190981
pkgconf	187892
xz	181811
libcap	172214
cmake	166827
harfbuzz	166579
zstd	165538
go	150156
bubblewrap	144029
pcre2	141530
libffi	138089
readline	134015
ncurses	132989
icu4c@78	126825
json-c	126558
lz4	125978
libtiff	125685
simdjson	123874
gmp	119679
mpdecimal	116157
libnghttp2	109247
jpeg-turbo	106778
libnghttp3	104990
libx11	103959
libngtcp2	103932
poppler	102415
zlib-ng-compat	100562
expat	99918
libpng	93686
llhttp	92398
protobuf	91093
gcc	90923
libssh2	88364
webp	87521
ripgrep	86700
gettext	86438
little-cms2	85780
git	85515
z3	83912
openjdk	82142
libunistring	81883
mpg123	80749
pipx	80201
pango	79988
p11-kit	79431
sdl3	79370
giflib	78694
jq	75847
llvm	74342
python@3.13	74308
abseil	74004
ada-url	73739
c-ares	72944
mise	72635
freetype	72354
dav1d	71014
xorgproto	69809
fmt	69727
brotli	68925
imagemagick	68837
fzf	68343
libvmaf	67439
graphite2	67371
coreutils	66613
python@3.12	66136
tesseract	65803
luajit	64923
libpsl	64102
oniguruma	62988
libtool	62814
libxext	62358
libxcb	61434
ollama	59599
yq	58065
pnpm	57903
tmux	57830
xcbeautify	57674
certifi	56490
gnupg	56379
docker	56379
gnutls	55223
simdutf	55153
krb5	54528
nss	54283
binutils	53287
openexr	53256
hello	53124
yt-dlp	52888
gdk-pixbuf	52855
ninja	52627
