formula	count
ca-certificates	504625
openssl@3	446941
xz	365064
sqlite	360112
python@3.14	338059
zstd	277192
node	276582
gh	250634
readline	231681
lz4	216763
glib	214514
icu4c@78	199595
pcre2	192720
awscli	184143
uv	180603
ffmpeg	178777
libnghttp2	172672
mpdecimal	170013
libunistring	169160
libpng	163802
llhttp	154197
gnutls	151905
gmp	149224
jpeg-turbo	144239
expat	143840
gettext	143366
fontconfig	141466
little-cms2	141088
cmake	139671
freetype	137437
simdjson	135388
libngtcp2	132954
harfbuzz	130685
ncurses	129929
libtiff	128854
go	126232
libx11	124521
zlib-ng-compat	120677
pkgconf	119085
brotli	116294
git	111951
giflib	111861
libxext	110133
xorgproto	107932
gnupg	107652
libnghttp3	106905
simdutf	106086
coreutils	101342
fmt	100640
unbound	100423
libgpg-error	99831
libvmaf	98515
merve	98512
aom	97097
llvm	96763
c-ares	96763
nettle	96049
libuv	93581
nbytes	89541
pixman	88349
libxcb	87798
cairo	87597
ada-url	87125
docker	87092
x265	86820
libedit	86204
libxau	85074
libksba	84579
m4	83580
libxdmcp	83082
mise	82620
python@3.13	82370
pnpm	82333
libxrender	81424
gemini-cli	81378
libgit2	81054
dav1d	80721
imagemagick	80440
xcbeautify	79668
libffi	78947
certifi	78020
bzip2	77536
libusb	76009
ruby	75590
lzo	74675
hdrhistogram_c	73015
openjph	72665
jq	72078
ripgrep	71851
protobuf	70718
uvwasi	70537
gcc	69993
krb5	69948
libomp	69912
graphite2	69857
libgcrypt	69695
libssh2	69570
pango	67727
curl	67627
openjdk	66050
