formula	count
ca-certificates	523775
openssl@3	429636
sqlite	369324
xz	332223
python@3.14	316191
zstd	255027
gh	247144
node	225492
readline	215607
lz4	196461
glib	189847
icu4c@78	188992
pcre2	186951
awscli	181280
uv	180338
fontconfig	177380
mpdecimal	159895
ffmpeg	156600
libunistring	156403
libpng	151721
harfbuzz	148144
libngtcp2	145578
cmake	145107
libnghttp2	141328
gmp	139622
gettext	138416
gnutls	135919
jpeg-turbo	135859
little-cms2	134891
go	134857
expat	132068
ncurses	128553
libnghttp3	126631
libtiff	126213
freetype	125331
libx11	123927
pkgconf	115543
llhttp	112078
simdjson	111483
zlib-ng-compat	108642
brotli	108124
libxext	104277
giflib	103728
gnupg	103678
git	103335
xorgproto	101478
llvm	98688
aom	98025
nettle	97477
fmt	95271
graphite2	94654
coreutils	92998
imagemagick	92569
libvmaf	91320
c-ares	89554
simdutf	89362
cairo	84661
libgpg-error	84186
libxcb	84013
libuv	83381
pixman	82532
merve	82089
x265	80248
ada-url	79203
docker	79110
libomp	78627
mise	78385
libusb	78100
libxau	77646
nbytes	77448
xcbeautify	76992
dav1d	76757
libxdmcp	76381
libedit	76297
libksba	76045
pnpm	75845
gemini-cli	75513
m4	75318
certifi	75281
unbound	75011
ruby	74790
libxrender	74626
protobuf	73858
openjph	72417
ripgrep	71351
openjdk	71244
lzo	68819
bzip2	68597
tmux	68507
libffi	68447
python@3.13	68323
pyenv	67953
pango	67099
jq	66399
hdrhistogram_c	66086
pipx	65747
krb5	65501
poppler	65450
gcc	65073
libssh2	64918
