formula	count
openssl@3	518762
ca-certificates	507070
xz	491220
sqlite	404106
zstd	340846
node	336050
gh	299134
python@3.14	292882
readline	283128
icu4c@78	270190
libpng	250298
lz4	247971
libnghttp2	238872
pcre2	217699
libngtcp2	215366
libunistring	214063
simdjson	203117
jpeg-turbo	199563
glib	197525
harfbuzz	196343
mpdecimal	192745
freetype	190307
awscli	189228
uv	185280
gettext	171010
ffmpeg	167334
gmp	161966
cmake	159746
brotli	149667
expat	148464
ncurses	146984
go	143962
giflib	141947
libtiff	141150
zlib-ng-compat	140496
libx11	138659
git	138444
pkgconf	136765
libnghttp3	135358
ada-url	134141
libuv	131542
libxext	123488
little-cms2	121578
xorgproto	121216
gemini-cli	120001
openexr	117585
c-ares	115181
fontconfig	108770
fmt	108402
python@3.13	105245
aom	103258
llhttp	102809
libvmaf	101397
libffi	99574
m4	97584
mise	96784
bzip2	95744
svt-av1	94740
libxcb	94188
libxau	93445
dav1d	91947
pango	91890
libxdmcp	90602
hdrhistogram_c	90404
pixman	90087
coreutils	89933
gnupg	89780
uvwasi	89777
libmpc	88270
libxrender	87968
libgcrypt	87390
libedit	86889
cairo	86181
krb5	86000
gnutls	83926
poppler	83831
gcc	83746
jq	83438
ollama	83145
autoconf	83137
unzip	80181
berkeley-db@5	79426
libssh2	78348
protobuf	77799
xcbeautify	76906
p11-kit	75265
libevent	75068
libgpg-error	74849
opus	73772
libidn2	73711
lzo	73441
pipx	73295
libvpx	72689
imagemagick	72450
x265	71729
libtasn1	71385
ripgrep	70999
libomp	70167
unbound	69357
util-linux	68903
