formula	count
openssl@3	532682
ca-certificates	492742
node	300790
sqlite	276852
gh	268837
libcap	264508
pkgconf	243986
bubblewrap	233722
python@3.14	224534
glib	219344
uv	208052
awscli	206216
fontconfig	194920
xz	180218
cmake	179201
zstd	164701
ffmpeg	156817
json-c	148179
pcre2	142955
libffi	140295
readline	132753
libtiff	129834
icu4c@78	126689
gmp	123941
lz4	123736
harfbuzz	123195
ncurses	122823
mpdecimal	115971
jpeg-turbo	114747
go	111640
poppler	110632
ripgrep	109860
libnghttp3	106462
libngtcp2	105725
libx11	105025
libssh2	103219
git	101897
zlib-ng-compat	99595
libnghttp2	95834
libpng	94235
webp	92963
llhttp	92221
gettext	90167
p11-kit	90052
c-ares	89870
dav1d	85802
little-cms2	85565
libunistring	85443
expat	85330
simdjson	85277
pipx	84549
giflib	81280
gcc	79996
jq	79659
luajit	79190
mpg123	77387
fmt	76562
libtool	75716
python@3.13	75251
z3	74570
sdl3	73357
freetype	73021
pango	72912
coreutils	72290
xorgproto	71676
pnpm	71503
lame	70758
fzf	70256
libvmaf	69930
graphite2	69582
mise	68805
ada-url	68716
docker	67951
brotli	67244
imagemagick	65975
libxext	65267
gnupg	65159
deno	64658
openjdk	63867
svt-av1	63716
certifi	63257
llvm	62844
libxcb	62006
protobuf	60702
pyenv	57843
gnutls	57477
oniguruma	56912
xcbeautify	56002
tesseract	55897
hdrhistogram_c	54563
libpsl	53314
cairo	53025
ruby	52953
krb5	52891
just	52683
libxau	52261
x265	51741
libxdmcp	51640
binutils	50480
ollama	50012
