formula	count
openssl@3	510387
ca-certificates	397238
node	285226
sqlite	284846
gh	276277
python@3.14	257785
libcap	255272
bubblewrap	233611
xz	210250
glib	206252
ffmpeg	194048
zstd	191714
libffi	186949
awscli	176849
fontconfig	175317
uv	165625
cmake	161948
libtiff	156780
pkgconf	156121
readline	155000
pcre2	150531
jpeg-turbo	150331
icu4c@78	142671
lz4	141706
git	136791
gmp	129613
mpdecimal	122445
fmt	121068
libngtcp2	119828
libnghttp3	116743
json-c	114549
c-ares	112230
libvmaf	109480
libx11	108962
libpng	108916
jq	108646
harfbuzz	108144
ncurses	107699
go	107177
gettext	106353
libunistring	104478
little-cms2	102340
llhttp	101395
gcc	99957
expat	99177
zlib-ng-compat	98358
sdl3	93263
poppler	91892
python@3.13	90966
gnupg	86742
pango	85889
freetype	85291
tmux	83303
graphite2	83025
giflib	81960
protobuf	81538
hdrhistogram_c	81165
libssh2	79357
ripgrep	79201
libxext	79168
xorgproto	78298
llvm	77531
brotli	77241
dav1d	76516
sdl2-compat	74032
coreutils	73269
webp	73204
libnghttp2	72476
p11-kit	70656
imagemagick	70649
deno	69835
lame	69141
libxcb	67494
gnutls	66466
pnpm	66053
docker	65455
luajit	65352
curl	65240
cairo	65045
gpgme	64983
libevent	64579
pipx	63856
z3	62876
pixman	60769
mise	60532
oniguruma	59852
certifi	59429
yt-dlp	59408
just	59155
xcbeautify	58589
x265	57965
gdk-pixbuf	57865
python@3.12	57199
libxau	57109
krb5	55879
libxdmcp	55201
svt-av1	54530
isl	54022
libxrender	53011
libuv	52651
