name	stargazers_count	html_url
cli	6715	https://github.com/larksuite/cli
career-ops	2238	https://github.com/santifer/career-ops
dingtalk-workspace-cli	1524	https://github.com/DingTalk-Real-AI/dingtalk-workspace-cli
weclaw	1128	https://github.com/fastclaw-ai/weclaw
cc-skills-golang	995	https://github.com/samber/cc-skills-golang
openilink-hub	890	https://github.com/openilink/openilink-hub
sheets	823	https://github.com/maaslalani/sheets
folio	586	https://github.com/carlos7ags/folio
regplatformm	578	https://github.com/xiaolajiaoyyds/regplatformm
codex2api	555	https://github.com/james-6-23/codex2api
