name	stargazers_count	html_url
anti-mage	972	https://github.com/N4darae/anti-mage
VoCat	683	https://github.com/MengMengCode/VoCat
boop	463	https://github.com/chrisgreg/boop
codex-subscription-router	392	https://github.com/b-nnett/codex-subscription-router
queqiao	388	https://github.com/bojieli/queqiao
WhiteVPN-Desktop	245	https://github.com/WhiteDNS/WhiteVPN-Desktop
lsoff	234	https://github.com/yutat23/lsoff
tproxy-server	226	https://github.com/telegramdesktop/tproxy-server
LayerX-Protocol	204	https://github.com/Sidiora-Labs/LayerX-Protocol
DJ4Hub	141	https://github.com/WongLoki/DJ4Hub
