name	stargazers_count	html_url
VoCat	537	https://github.com/MengMengCode/VoCat
codex-subscription-router	376	https://github.com/b-nnett/codex-subscription-router
queqiao	367	https://github.com/bojieli/queqiao
DJOneHub-mac-enhanced	322	https://github.com/rogerbush007-a11y/DJOneHub-mac-enhanced
KPanel	299	https://github.com/kejilion/KPanel
sub2api-guardian	235	https://github.com/codermyxiaoc/sub2api-guardian
WhiteVPN-Desktop	228	https://github.com/WhiteDNS/WhiteVPN-Desktop
lsoff	218	https://github.com/yutat23/lsoff
opencode2api	202	https://github.com/jasonxu114514/opencode2api
echolocal	154	https://github.com/ygelfand/echolocal
