name	stargazers_count	html_url
bumblebee	4463	https://github.com/perplexityai/bumblebee
SenPaiScanner	1551	https://github.com/MatinSenPai/SenPaiScanner
kage	1517	https://github.com/tamnd/kage
wa-app	511	https://github.com/pood1e/wa-app
Image-Studio	306	https://github.com/RoseKhlifa/Image-Studio
kli	261	https://github.com/bjarneo/kli
WhiteDNS-Wizard	230	https://github.com/iampedii/WhiteDNS-Wizard
ArachneC2	225	https://github.com/portbuster1337/ArachneC2
rstaspoof	224	https://github.com/rstagit/rstaspoof
EasySNI	197	https://github.com/macan-dev/EasySNI
