name	stargazers_count	html_url
bumblebee	4178	https://github.com/perplexityai/bumblebee
open-code-review	1030	https://github.com/alibaba/open-code-review
SenPaiScanner	905	https://github.com/MatinSenPai/SenPaiScanner
91	809	https://github.com/nianzhibai/91
substrate	432	https://github.com/agent-substrate/substrate
btype	273	https://github.com/tidwall/btype
CPA-Helper	265	https://github.com/walkingddd/CPA-Helper
comview	246	https://github.com/rockorager/comview
officedex	222	https://github.com/officecli/officedex
DEEIX-Chat	214	https://github.com/DEEIX-AI/DEEIX-Chat
