name	stargazers_count	html_url
9arm-skills	2776	https://github.com/thananon/9arm-skills
enableMacosAI	1070	https://github.com/SkyBlue997/enableMacosAI
aur-malware-check	648	https://github.com/lenucksi/aur-malware-check
nbd-vram	475	https://github.com/c0deJedi/nbd-vram
sage	295	https://github.com/ConiferKit/sage
mg-Koyeb	278	https://github.com/zzzhhh1/mg-Koyeb
dotfiles	265	https://github.com/bautistaaa/dotfiles
bc250-40cu-unlock	232	https://github.com/duggasco/bc250-40cu-unlock
proxmox	217	https://github.com/dockur/proxmox
websites-100-audit	217	https://github.com/Moh4696/websites-100-audit
