name	stargazers_count	html_url
9arm-skills	2765	https://github.com/thananon/9arm-skills
enableMacosAI	769	https://github.com/SkyBlue997/enableMacosAI
nbd-vram	472	https://github.com/c0deJedi/nbd-vram
Hermes-USB-Portable	352	https://github.com/techjarves/Hermes-USB-Portable
sage	295	https://github.com/ConiferKit/sage
aur-malware-check	281	https://github.com/lenucksi/aur-malware-check
mg-Koyeb	277	https://github.com/zzzhhh1/mg-Koyeb
dotfiles	264	https://github.com/bautistaaa/dotfiles
bc250-40cu-unlock	231	https://github.com/duggasco/bc250-40cu-unlock
proxmox	217	https://github.com/dockur/proxmox
