name	stargazers_count	html_url
9arm-skills	2681	https://github.com/thananon/9arm-skills
burn-baby-burn	596	https://github.com/dtnewman/burn-baby-burn
nbd-vram	427	https://github.com/c0deJedi/nbd-vram
Hermes-USB-Portable	311	https://github.com/techjarves/Hermes-USB-Portable
aws-certified-solutions-architect-associate-brasil	300	https://github.com/Thiago-code-lab/aws-certified-solutions-architect-associate-brasil
modulejail	289	https://github.com/jnuyens/modulejail
mg-Koyeb	278	https://github.com/zzzhhh1/mg-Koyeb
android-testing-skills	259	https://github.com/skydoves/android-testing-skills
dotfiles	246	https://github.com/bautistaaa/dotfiles
bc250-40cu-unlock	199	https://github.com/duggasco/bc250-40cu-unlock
